coin,model,DM_stat,p_value,significant
ADA,LogReg_ordinal,-0.467,0.6407,False
ADA,RF_ordinal,-1.284,0.1991,False
ADA,GBM_ordinal,-1.019,0.3084,False
ADA,MLP_ordinal,-0.553,0.5806,False
BNB,LogReg_ordinal,1.335,0.1818,False
BNB,RF_ordinal,1.433,0.1519,False
BNB,GBM_ordinal,1.96,0.05,False
BNB,MLP_ordinal,1.111,0.2665,False
BTC,LogReg_ordinal,1.513,0.1302,False
BTC,RF_ordinal,1.525,0.1272,False
BTC,GBM_ordinal,1.018,0.3086,False
BTC,MLP_ordinal,0.57,0.5689,False
DOGE,LogReg_ordinal,1.453,0.1463,False
DOGE,RF_ordinal,0.987,0.3234,False
DOGE,GBM_ordinal,2.204,0.0276,True
DOGE,MLP_ordinal,1.315,0.1886,False
ETH,LogReg_ordinal,1.284,0.199,False
ETH,RF_ordinal,0.964,0.3348,False
ETH,GBM_ordinal,1.19,0.2339,False
ETH,MLP_ordinal,1.484,0.1378,False
LTC,LogReg_ordinal,0.726,0.4681,False
LTC,RF_ordinal,0.732,0.464,False
LTC,GBM_ordinal,0.036,0.9714,False
LTC,MLP_ordinal,0.321,0.7484,False
SOL,LogReg_ordinal,1.128,0.2592,False
SOL,RF_ordinal,-1.612,0.1069,False
SOL,GBM_ordinal,-1.34,0.1802,False
SOL,MLP_ordinal,-0.789,0.4298,False
XRP,LogReg_ordinal,0.781,0.4349,False
XRP,RF_ordinal,2.44,0.0147,True
XRP,GBM_ordinal,1.234,0.2172,False
XRP,MLP_ordinal,1.244,0.2133,False
