d,coin,n_patterns,PE,chi2_stat,chi2_pval,H0_rejected,n_forbidden,pct_forbidden,spectral_gap
3,ADA,6,0.999464,4.23,0.51704,False,0,0.0,0.51918
3,BNB,6,0.999805,1.53,0.90991,False,0,0.0,0.50544
3,BTC,6,0.99977,1.8,0.8755,False,0,0.0,0.53406
3,DOGE,6,0.999921,0.62,0.98683,False,0,0.0,0.51362
3,ETH,6,0.999762,1.86,0.86833,False,0,0.0,0.49098
3,LTC,6,0.999517,3.76,0.58433,False,0,0.0,0.49459
3,SOL,6,0.999791,1.64,0.89621,False,0,0.0,0.5216
3,XRP,6,0.999549,3.58,0.61109,False,0,0.0,0.52172
4,ADA,24,0.998177,25.43,0.32825,False,0,0.0,0.42743
4,BNB,24,0.998564,19.82,0.65252,False,0,0.0,0.41059
4,BTC,24,0.998713,17.82,0.76703,False,0,0.0,0.44907
4,DOGE,24,0.998568,20.19,0.63021,False,0,0.0,0.42557
4,ETH,24,0.998506,20.93,0.58518,False,0,0.0,0.44598
4,LTC,24,0.998101,26.5,0.2778,False,0,0.0,0.4125
4,SOL,24,0.998581,19.32,0.6823,False,0,0.0,0.4472
4,XRP,24,0.997588,34.11,0.06354,False,0,0.0,0.44741
5,ADA,120,0.994694,111.86,0.66601,False,0,0.0,0.38314
5,BNB,120,0.993187,136.77,0.12672,False,0,0.0,0.38506
5,BTC,120,0.995423,93.69,0.95816,False,0,0.0,0.37813
5,DOGE,120,0.994371,119.69,0.46491,False,0,0.0,0.37513
5,ETH,120,0.993752,128.4,0.26215,False,0,0.0,0.37523
5,LTC,120,0.993713,131.44,0.20527,False,0,0.0,0.36873
5,SOL,120,0.994973,102.72,0.85629,False,0,0.0,0.36828
5,XRP,120,0.993388,139.06,0.10093,False,0,0.0,0.37288
