regime,coin,n_days,PE,spectral_gap,daily_vol,daily_ret
Bull_2020-2021,ADA,579,0.996851,0.51605,0.059323,0.006876
Bull_2020-2021,BNB,579,0.998833,0.48227,0.048023,0.005546
Bull_2020-2021,BTC,579,0.998247,0.49829,0.035913,0.003995
Bull_2020-2021,DOGE,579,0.998648,0.47289,0.0645,0.003095
Bull_2020-2021,ETH,579,0.999704,0.48938,0.047789,0.006034
Bull_2020-2021,LTC,579,0.99924,0.46766,0.050887,0.003949
Bull_2020-2021,SOL,579,0.999305,0.47707,0.081548,0.009663
Bull_2020-2021,XRP,579,0.997768,0.48963,0.054923,0.001999
Bear_2022,ADA,416,0.998754,0.44319,0.048281,-0.005006
Bear_2022,BNB,416,0.991865,0.53209,0.036329,-0.001612
Bear_2022,BTC,416,0.998109,0.51868,0.031442,-0.002912
Bear_2022,DOGE,416,0.997974,0.47797,0.049671,-0.003326
Bear_2022,ETH,416,0.997799,0.46962,0.043577,-0.003035
Bear_2022,LTC,416,0.999514,0.4934,0.045709,-0.002959
Bear_2022,SOL,416,0.999098,0.49383,0.057568,-0.00671
Bear_2022,XRP,416,0.998118,0.49159,0.041623,-0.003061
Recovery_2023,ADA,365,0.998382,0.50144,0.033711,0.002264
Recovery_2023,BNB,365,0.995971,0.49322,0.023516,0.000653
Recovery_2023,BTC,365,0.997716,0.52848,0.022766,0.002573
Recovery_2023,DOGE,365,0.999087,0.50722,0.031748,0.000587
Recovery_2023,ETH,365,0.998303,0.4327,0.024333,0.001772
Recovery_2023,LTC,365,0.996202,0.48354,0.032316,-0.000166
Recovery_2023,SOL,365,0.996621,0.5658,0.049259,0.00619
Recovery_2023,XRP,365,0.997081,0.53156,0.031427,0.000299
Bull_2024-2025,ADA,456,0.99449,0.60793,0.045247,-0.000524
Bull_2024-2025,BNB,456,0.998448,0.53166,0.029258,0.001336
Bull_2024-2025,BTC,456,0.999342,0.61732,0.027473,0.001433
Bull_2024-2025,DOGE,456,0.995837,0.58424,0.051786,0.001034
Bull_2024-2025,ETH,456,0.999277,0.51548,0.034651,-0.000523
Bull_2024-2025,LTC,456,0.997491,0.54113,0.04117,0.000356
Bull_2024-2025,SOL,456,0.996477,0.62049,0.046283,0.000469
Bull_2024-2025,XRP,456,0.99825,0.55751,0.042221,0.001943
Correction_2025+,ADA,394,0.997173,0.51306,0.040401,-0.002407
Correction_2025+,BNB,394,0.99917,0.45642,0.026096,9.1e-05
Correction_2025+,BTC,394,0.996079,0.47236,0.021971,-0.000125
Correction_2025+,DOGE,394,0.998928,0.48858,0.043685,-0.001124
Correction_2025+,ETH,394,0.997972,0.50066,0.037334,0.00047
Correction_2025+,LTC,394,0.993842,0.44717,0.034035,-0.000792
Correction_2025+,SOL,394,0.997268,0.49593,0.039264,-0.001027
Correction_2025+,XRP,394,0.996895,0.52166,0.034556,-0.000959
