d,tau,coin,PE,spectral_gap
3,1,ADA,0.999464,0.51918
3,1,BNB,0.999805,0.50544
3,1,BTC,0.99977,0.53406
3,1,DOGE,0.999921,0.51362
3,1,ETH,0.999762,0.49098
3,1,LTC,0.999517,0.49459
3,1,SOL,0.999791,0.5216
3,1,XRP,0.999549,0.52172
3,2,ADA,0.999778,0.92093
3,2,BNB,0.999626,0.91814
3,2,BTC,0.999859,0.94499
3,2,DOGE,0.999901,0.95834
3,2,ETH,0.999571,0.92557
3,2,LTC,0.999509,0.93683
3,2,SOL,0.999644,0.95377
3,2,XRP,0.999656,0.94567
3,3,ADA,0.999561,0.93746
3,3,BNB,0.999842,0.94053
3,3,BTC,0.999868,0.94522
3,3,DOGE,0.99918,0.92118
3,3,ETH,0.999044,0.94504
3,3,LTC,0.999914,0.95276
3,3,SOL,0.999403,0.94175
3,3,XRP,0.999614,0.92939
3,5,ADA,0.999903,0.93988
3,5,BNB,0.99935,0.92468
3,5,BTC,0.999221,0.92099
3,5,DOGE,0.999817,0.92366
3,5,ETH,0.999684,0.93519
3,5,LTC,0.999839,0.94726
3,5,SOL,0.999767,0.96821
3,5,XRP,0.999963,0.93972
4,1,ADA,0.998177,0.42743
4,1,BNB,0.998564,0.41059
4,1,BTC,0.998713,0.44907
4,1,DOGE,0.998568,0.42557
4,1,ETH,0.998506,0.44598
4,1,LTC,0.998101,0.4125
4,1,SOL,0.998581,0.4472
4,1,XRP,0.997588,0.44741
4,2,ADA,0.998571,0.8913
4,2,BNB,0.998645,0.87561
4,2,BTC,0.999181,0.88373
4,2,DOGE,0.998971,0.89006
4,2,ETH,0.998621,0.86419
4,2,LTC,0.996744,0.87954
4,2,SOL,0.998678,0.88369
4,2,XRP,0.998001,0.87611
4,3,ADA,0.998724,0.895
4,3,BNB,0.998487,0.88796
4,3,BTC,0.998895,0.88882
4,3,DOGE,0.998307,0.87569
4,3,ETH,0.998139,0.90209
4,3,LTC,0.999191,0.88774
4,3,SOL,0.998996,0.87612
4,3,XRP,0.998335,0.88337
4,5,ADA,0.998284,0.87464
4,5,BNB,0.998056,0.88185
4,5,BTC,0.998821,0.8891
4,5,DOGE,0.997089,0.88448
4,5,ETH,0.998587,0.88953
4,5,LTC,0.998817,0.89277
4,5,SOL,0.998909,0.8867
4,5,XRP,0.999235,0.89356
